Target_Option,Target_Option_Grouped,Experience,Cat_Breed_Cat,Brand_Std,Factor_Taste,Factor_Brand_Rep,Factor_Price,Factor_Ingredients,Factor_Packaging,PkgFactor_Taste,PkgFactor_Freshness,PkgFactor_Nutrition,PkgFactor_Safety,PkgFactor_Convenience,PkgFactor_Promotion,PkgFactor_Quality,PkgFactor_Price,Opt1_Attractiveness,Opt1_Trust,Opt1_Modernity,Opt1_Premium_Feel,Opt1_Purchase_Intent,Opt2_Attractiveness,Opt2_Trust,Opt2_Modernity,Opt2_Premium_Feel,Opt2_Purchase_Intent,Opt3_Attractiveness,Opt3_Trust,Opt3_Modernity,Opt3_Premium_Feel,Opt3_Purchase_Intent,Opt4_Attractiveness,Opt4_Trust,Opt4_Modernity,Opt4_Premium_Feel,Opt4_Purchase_Intent,Opt5_Attractiveness,Opt5_Trust,Opt5_Modernity,Opt5_Premium_Feel,Opt5_Purchase_Intent,Opt6_Attractiveness,Opt6_Trust,Opt6_Modernity,Opt6_Premium_Feel,Opt6_Purchase_Intent,Opt7_Attractiveness,Opt7_Trust,Opt7_Modernity,Opt7_Premium_Feel,Opt7_Purchase_Intent,Opt8_Attractiveness,Opt8_Trust,Opt8_Modernity,Opt8_Premium_Feel,Opt8_Purchase_Intent,Opt9_Attractiveness,Opt9_Trust,Opt9_Modernity,Opt9_Premium_Feel,Opt9_Purchase_Intent,Opt10_Attractiveness,Opt10_Trust,Opt10_Modernity,Opt10_Premium_Feel,Opt10_Purchase_Intent,Opt3_High_Intent,Opt6_High_Intent,Age_Ordinal,Gender_Label,Marital_Label,Gender_Female,Gender_Male,Gender_Other,Marital_Divorced,Marital_In_Relationship,Marital_Married,Marital_Single,Need_Clear_Window,Need_Pour_Lid,Need_Small_Packs,Need_Sodium_Info,Need_Big_Text,Design_Matte,Design_Cartoon,Need_Interactive,Need_Big_Text,Need_Interactive,Need_Sodium_Info,Design_Special,Need_Functional_Pkg
Option 3,Option 3,Yes,Mixed/Stray,Other,4,3,4,3,3,3,3,4,4,4,3,4,4,2,3,2,2,2,2,3,2,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,0,0,2,Male,In_Relationship,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,Kativa/Kaniva,5,4,5,4,5,4,2,5,5,5,5,5,5,2,4,1,1,1,2,4,1,1,1,3,4,2,2,2,3,4,1,1,2,1,4,1,1,1,2,4,1,1,2,2,3,1,1,1,2,4,1,1,1,1,4,1,1,1,2,2,2,2,2,0,0,1,Female,Married,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Purebred,King Cat,2,2,4,2,4,4,2,4,2,4,4,5,5,4,4,2,2,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,1,1,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 7,Other,Yes,Mixed/Stray,Projen,5,4,3,5,5,3,2,5,5,5,4,5,5,2,2,1,1,1,2,1,1,1,1,2,2,2,3,1,2,2,1,3,1,2,2,2,3,1,2,2,2,2,1,2,3,2,3,1,3,3,2,3,1,2,2,2,2,2,2,2,2,2,2,0,0,1,Male,In_Relationship,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Purebred,Projen,5,2,5,2,5,3,5,5,5,1,3,5,5,1,1,1,1,1,1,1,1,1,1,3,3,4,2,3,2,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,Male,In_Relationship,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Purebred,King Cat,4,2,5,2,5,5,2,3,4,2,3,4,4,2,3,1,2,3,1,3,1,2,2,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,1,Female,Married,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,Other,3,2,4,1,4,3,5,5,5,2,4,5,4,1,4,1,1,1,1,4,1,1,1,1,3,1,1,1,2,3,1,2,2,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Purebred,King Cat,5,1,3,1,3,1,1,5,1,5,5,5,5,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,1,1,4,1,1,1,0,0,2,Female,In_Relationship,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,You-O,3,3,4,3,4,4,4,4,4,3,4,4,3,2,2,2,1,2,3,3,3,2,2,3,3,3,2,3,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,3,3,3,2,2,3,3,2,2,2,1,2,2,2,2,2,2,2,2,2,1,0,2,Male,In_Relationship,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,You-O,3,4,5,4,5,4,5,5,3,3,3,5,4,2,2,3,2,2,3,4,3,2,3,3,4,3,2,4,2,4,2,2,2,3,4,3,2,3,2,4,2,2,1,3,4,4,2,3,2,4,2,2,1,3,4,2,2,2,1,4,1,2,1,1,0,1,Male,Single,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,Purina,5,4,5,4,5,5,3,5,5,5,5,5,4,3,3,2,2,2,2,1,2,1,1,3,2,2,3,2,1,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,King Cat,3,3,4,3,3,3,3,3,3,4,4,5,2,1,3,3,2,1,3,4,3,2,1,1,3,1,1,1,1,2,2,2,1,1,1,2,2,1,3,3,2,2,2,3,2,3,2,2,3,3,3,2,1,3,3,2,1,1,3,3,2,1,1,0,0,4,Male,Married,False,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 6,Option 6,Yes,Mixed/Stray,Other,4,2,5,1,2,1,5,5,5,4,3,5,3,2,4,1,3,1,2,4,2,1,1,3,4,2,2,1,3,4,2,2,3,3,4,2,2,4,4,4,3,2,4,4,4,2,2,4,3,4,2,2,3,3,2,2,1,4,4,2,2,3,4,0,1,3,Female,Married,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,Other,5,5,4,5,5,5,5,5,5,5,5,5,5,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,3,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,Other,5,3,5,4,4,4,3,4,3,5,5,5,4,2,2,1,1,1,2,2,2,2,2,3,2,3,4,4,3,3,2,2,2,2,2,2,2,2,3,3,4,3,4,4,4,4,3,3,2,2,2,3,2,2,2,2,2,2,3,3,4,4,3,1,1,2,Female,In_Relationship,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Purebred,Purina,5,4,5,3,5,5,5,3,5,3,5,5,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,2,4,3,3,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2,2,2,2,3,2,2,3,1,0,2,Male,Single,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,Other,5,5,5,5,4,5,5,5,5,5,5,5,5,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,0,2,Female,In_Relationship,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,Other,4,2,5,3,4,4,3,3,3,3,3,4,3,3,3,2,3,2,2,3,2,2,2,4,4,4,3,4,4,4,3,3,3,3,3,2,3,2,3,4,3,2,2,3,3,3,3,3,3,4,4,3,3,2,3,2,2,2,2,3,3,2,2,1,0,4,Male,Married,False,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,King Cat,3,3,5,3,4,3,3,3,3,3,3,3,4,3,3,2,1,1,3,3,2,2,1,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,3,3,1,1,1,1,1,2,3,2,2,1,0,0,2,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 6,Option 6,Yes,Purebred,King Cat,5,3,5,4,5,4,4,3,4,3,4,5,5,2,4,3,2,3,2,3,3,2,2,4,4,4,2,3,4,4,4,4,3,2,3,2,3,2,4,4,3,4,3,4,4,3,4,4,3,4,3,3,3,2,3,3,3,2,3,4,3,4,3,1,1,2,Male,Married,False,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Purebred,King Cat,4,3,5,3,4,4,3,4,5,3,2,4,4,2,3,1,2,1,3,3,2,2,2,3,3,2,3,2,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,2,3,2,2,2,2,2,3,3,3,3,3,0,0,2,Female,Married,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,Purina,4,4,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,1,1,2,Female,Divorced,True,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,Purina,5,4,4,4,4,4,4,5,5,5,5,5,4,3,4,3,3,2,2,2,1,2,2,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,3,3,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,3,3,1,1,2,Female,Married,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,Kativa/Kaniva,4,5,5,3,5,4,3,5,5,3,5,5,4,2,4,2,1,2,4,4,4,3,4,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,0,2,Male,Married,False,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,Other,4,2,5,2,3,4,4,4,4,5,3,4,4,2,3,2,2,2,3,3,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,2,1,0,3,Female,In_Relationship,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,Purina,4,3,4,3,4,4,3,5,4,4,4,4,3,2,2,1,2,1,2,3,2,2,2,2,3,3,2,2,2,3,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,1,2,2,3,3,2,3,2,1,2,1,2,2,1,2,1,2,2,0,0,1,Male,In_Relationship,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,King Cat,4,2,4,2,4,5,4,4,5,3,3,3,4,3,4,2,2,3,3,4,2,3,2,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2,3,3,3,3,3,3,3,2,2,2,3,4,3,3,3,2,2,2,2,2,0,0,2,Male,Married,False,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,King Cat,4,2,5,2,5,5,3,4,3,4,3,3,3,2,2,2,1,1,2,2,1,1,1,2,3,2,2,2,2,3,2,2,2,1,3,2,1,1,1,1,1,1,1,3,3,3,2,3,2,3,2,2,2,1,1,1,1,1,1,4,2,2,2,0,0,2,Female,Married,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,Other,3,3,4,2,5,5,5,4,3,2,2,4,4,3,3,3,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,3,2,3,3,4,2,4,3,3,3,3,3,4,2,2,2,3,1,2,2,2,2,1,0,1,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,Other,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,0,2,Female,In_Relationship,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,Other,5,5,5,5,4,2,2,5,5,2,3,5,5,2,4,1,1,1,2,2,1,1,1,4,4,2,2,4,4,4,2,2,3,1,2,1,1,1,2,4,3,2,2,1,2,2,2,2,3,4,2,3,3,2,2,2,3,1,1,1,1,1,1,1,0,1,Male,In_Relationship,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 5,Other,Yes,Purebred,King Cat,5,4,4,4,4,5,5,5,5,5,4,4,5,3,3,2,1,1,2,4,2,1,2,3,4,4,3,3,1,4,1,1,1,1,4,1,1,1,4,4,4,4,4,2,4,2,2,2,3,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,2,Male,In_Relationship,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,Other,3,4,2,2,3,3,3,3,3,3,3,2,3,1,2,1,1,2,2,2,2,2,2,3,3,2,2,3,2,2,1,3,3,3,3,2,1,2,1,2,2,3,2,2,2,3,3,1,1,3,3,3,2,1,1,2,3,3,3,3,2,2,3,1,0,1,Male,Single,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,Purina,5,3,4,1,4,5,4,5,3,5,3,5,4,2,2,1,1,1,2,2,2,1,1,3,3,2,2,3,2,3,1,2,1,2,3,3,3,1,3,3,2,3,3,2,3,3,3,1,2,3,2,2,1,2,2,1,2,1,4,4,2,3,3,1,1,1,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,Other,3,3,4,2,3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,4,3,3,3,2,3,3,3,2,1,3,1,1,1,1,3,1,1,1,1,3,2,1,1,1,2,3,2,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,1,0,0,1,Female,In_Relationship,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 6,Option 6,Yes,Mixed/Stray,Buzz,4,4,4,3,5,5,4,4,4,3,2,5,4,2,3,1,2,1,2,3,2,2,2,3,3,2,2,3,3,3,2,2,2,2,2,2,2,2,2,1,3,3,2,4,4,3,3,4,4,4,3,3,3,2,2,2,2,2,1,1,1,1,1,1,0,1,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 6,Option 6,Yes,Mixed/Stray,Other,4,4,4,3,4,4,4,4,4,4,3,5,5,1,1,1,1,1,1,1,1,1,1,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,4,4,2,2,3,3,3,2,2,3,3,4,2,2,3,1,1,1,1,1,1,3,1,1,1,1,1,2,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,King Cat,4,4,4,4,5,4,3,4,4,3,4,5,5,1,1,1,1,1,2,2,2,2,2,4,4,4,3,4,4,4,3,3,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,Female,In_Relationship,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Purebred,Kativa/Kaniva,4,5,3,5,5,5,5,5,5,3,5,5,5,2,4,1,1,1,3,4,4,2,1,4,4,3,2,4,3,4,2,4,3,4,4,4,4,4,4,4,2,3,3,2,4,4,4,3,2,4,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,Male,In_Relationship,False,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,Other,4,3,5,2,3,4,4,5,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,4,Female,Single,True,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,Whiskas,4,2,5,2,3,2,4,4,4,2,2,5,4,2,3,1,2,2,3,3,2,1,2,4,2,2,3,3,1,1,2,1,1,1,2,2,1,1,3,3,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,2,Female,Married,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,King Cat,3,3,4,2,5,4,4,4,3,3,4,3,4,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,Female,In_Relationship,True,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 1,Option 1,Yes,Mixed/Stray,King Cat,4,3,5,3,4,3,4,4,4,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,2,2,2,2,2,1,0,3,Female,Married,True,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 3,Option 3,Yes,Mixed/Stray,You-O,4,2,2,2,4,4,3,5,4,1,3,5,1,3,3,1,4,4,2,2,1,1,1,2,3,2,3,4,3,4,2,3,4,1,3,1,1,1,3,4,1,2,3,4,4,2,3,4,4,4,2,2,4,1,3,1,1,1,3,4,3,2,4,1,1,3,Male,Single,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0
Option 2,Option 2,Yes,Mixed/Stray,Wills,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,1,1,1,1,1,1,1,1,4,4,1,4,4,1,4,1,1,1,1,1,1,1,1,3,4,4,1,3,1,1,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,3,Male,Married,False,True,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0
